Algoritma,Veri Boyutu,Çalışma Süresi (s),Bellek Kullanımı (KB)
Bubble Sort,100,0.001258,0.11
Bubble Sort,500,0.065133,0.25
Bubble Sort,1000,0.446799,0.26
Bubble Sort,2000,2.322971,0.26
Bubble Sort,5000,16.213879,0.26
Selection Sort,100,0.000482,0.11
Selection Sort,500,0.05114,0.23
Selection Sort,1000,0.24178,0.26
Selection Sort,2000,0.950399,0.26
Selection Sort,5000,5.708435,0.26
Insertion Sort,100,0.000281,0.08
Insertion Sort,500,0.042726,0.14
Insertion Sort,1000,0.199414,0.14
Insertion Sort,2000,0.859423,0.14
Insertion Sort,5000,5.75904,0.14
Merge Sort,100,0.000746,1.68
Merge Sort,500,0.001547,8.03
Merge Sort,1000,0.006172,15.77
Merge Sort,2000,0.017616,31.42
Merge Sort,5000,0.064301,78.5
Merge Sort,10000,0.157413,156.55
Merge Sort,50000,1.031586,781.73
Merge Sort,100000,2.363809,1562.9
Quick Sort,100,0.000104,0.08
Quick Sort,500,0.00277,0.73
Quick Sort,1000,0.008206,0.86
Quick Sort,2000,0.023216,1.05
Quick Sort,5000,0.075981,1.36
Quick Sort,10000,0.162362,1.48
Quick Sort,50000,0.961795,1.61
Quick Sort,100000,2.000959,1.8
Heap Sort,100,0.000161,0.08
Heap Sort,500,0.004267,0.25
Heap Sort,1000,0.006903,0.31
Heap Sort,2000,0.017698,0.37
Heap Sort,5000,0.068303,0.5
Heap Sort,10000,0.158985,0.56
Heap Sort,50000,1.133591,0.68
Heap Sort,100000,2.45212,0.75
Radix Sort,100,0.002256,1.03
Radix Sort,500,0.019173,4.37
Radix Sort,1000,0.047234,8.34
Radix Sort,2000,0.101521,16.18
Radix Sort,5000,0.260738,39.65
Radix Sort,10000,0.536411,78.71
Radix Sort,50000,3.021171,391.21
Radix Sort,100000,6.004508,781.84
